Command,Meaning,Default
MIN_PLAY_TIME_TOTAL,Total play time in minutes required to play here,0
MIN_VOTERS,Number of voters that need to be online to enable voting.,3
MOUSE_GRAB,"Grab the mouse pointer, so it can't leave the window",0
MOVE_TO,"Kicks the specified player from the server and, if the client supports it, redirects him to a different server. Does not imply an autoban penalty.",
MOVIEPACK,Use the moviepack if available,1
MOVIEPACK_FLOOR_BLUE,Floor color,0.5
MOVIEPACK_FLOOR_GREEN,Floor color,0.5
MOVIEPACK_FLOOR_RED,Floor color,0.5
MOVIEPACK_HACK,UNDOCUMENTED,
MOVIEPACK_RIM_WALL_STRETCH_X,Extension of one square of rim wall texture in the horizontal direction for the moviepack,50
MOVIEPACK_RIM_WALL_STRETCH_Y,Extension of the rim wall texture in the vertical direction for the moviepack,50
NETWORK_AUTOBAN_FACTOR,Autoban players for NETWORK_AUTOBAN_FACTOR * ( kph - NETWORK_AUTOBAN_OFFSET ) minutes when they get kicked; kph is the average number of kicks per hour they get.,10
NETWORK_AUTOBAN_MAX_KPH,Maximal value of the kicks per hour; larger values are smoothly clamped.,30
NETWORK_AUTOBAN_OFFSET,Autoban players for NETWORK_AUTOBAN_FACTOR * ( kph - NETWORK_AUTOBAN_OFFSET ) minutes when they get kicked; kph is the average number of kicks per hour they get.,5
NETWORK_LOCK_OUT_028_TEST,UNDOCUMENTED,1
NETWORK_MIN_BAN,"When a client's connection is blocked because he's banned, make him banned for at least this many seconds.",120
NETWORK_SPECTATOR_TIME,"If set to something bigger than zero, this is the maximal time in seconds a client without players is tolerated.",0
NEW_FEATURE_DELAY,Disable features that only came in during the last X protocol versions.,0
NEW_TEAM_ALLOWED,Is it currently allowed to create a new team?,0
NUM_AIS,Number of AI players,0
PASSWORD,Password setting,0
PASSWORD_STORAGE,"Determines where your passwords are stored: 1 means on harddisk (dangerous), 0 in memory and -1 means they are not stored at all.",0
PING_CHARITY,How much ping are you willing to take over from your opponent?,100
PING_CHARITY_MAX,Server option: maximum ping charity value. Set to 0 to avoid instant kills. Active only if all clients are 0.2.8.3 or better.,500
PING_CHARITY_MIN,Server option: minimum ping charity value. Use to enforce fairness. Active only if all clients are 0.2.8.3 or better.,0
PING_CHARITY_SERVER,Don't touch: the server says this is the maximal ping compensation.,0
PING_FLOOD_GLOBAL,"The times PING_FLOOD_TIME_X, multiplied by this value, count for all pings from all machines. Negative values disable global flood protection.",0.1
PING_FLOOD_TIME_10,Minimum time for 10 ping packets from one machine to arrive.,1
PING_FLOOD_TIME_100,Minimum time for 100 ping packets from one machine to arrive.,100
PING_FLOOD_TIME_20,Minimum time for 20 ping packets from one machine to arrive.,4
PING_FLOOD_TIME_50,Minimum time for 50 ping packets from one machine to arrive.,20
PING_LOCX,Horizontal position of the ping display,0.8
PING_LOCY,Vertical position of the ping display,-0.95
PING_SIZE,Size of the ping display,0.13
PLAYERS,Prints list of currently active players,
PLAYER_CHAT_WAIT_FRACTION,Maximum fraction of time to wait for a single player to stop chatting.,0
PLAYER_CHAT_WAIT_MAX,Maximum time in seconds to wait for a single player to stop chatting.,0
PLAYER_CHAT_WAIT_SINGLE,Set to 1 if only one player should get his chat wait time reduced at any given time.,0
PLAYER_CHAT_WAIT_TEAMLEADER,"Set to 1 if only team leaders, and 0 if all players, should be allowed to pause the timer.",1
PLAYER_LIST_HIDDEN_PLAYER_PREFIX,The prefix that is shown on hidden players' Global ID and access level when we can see it.,0xaaaaaa
PLAYER_MESSAGE,Sends a message to a specified player.,
PLAYER_POSITIONING_MIDFIELD_FACTOR,player_positioning_midfield_factor_help,3
PLAYER_POSITIONING_START_TIME,player_positioning_start_time_help,5
PLAYER_POSITIONING_ZONE_FACTOR,player_positioning_zone_factor_help,1.5
PLAYER_RANDOM_COLOR,"If set to 1, each local player will receive a semi-random color every round, trying to get as far away from every other player color.",0
PLAY_TIME_ONLINE,Total time in minutes someone has played with this client online,480
PLAY_TIME_TEAM,Total time in minutes someone has played with this client in a team,480
PLAY_TIME_TOTAL,Total time in minutes someone has played with this client,480
PREDICT_OBJECTS,Predict cycle movement in network play,0
PREDICT_WALLS,Predict cycle walls. Useful for avoiding instant kills,1
PREFIX_SPAM_ENABLE,"Should spam prefix checking be enabled? Set to 1 to enable, 0 to disable.",1
PREFIX_SPAM_LENGTH_MULTIPLIER,Multiplier applied to prefix length when calculating prefix spam score.,1.2
PREFIX_SPAM_NUMBER_COLOR_CODES_MULTIPLIER,Multiplier applied to the number of color codes in prefix when calculating prefix spam score.,1.2
PREFIX_SPAM_NUMBER_KNOWN_PREFIXES_MULTIPLIER,Multiplier applied to the number of known spam prefixes when calculating prefix spam score.,1
PREFIX_SPAM_REQUIRED_SCORE,The required prefix spam score a prefix must have for it to be considered spam.,10
PREFIX_SPAM_START_COLOR_MULTIPLIER,If a prefix begins with a color code it will have this multiplier applied to its score.,1.5
PREFIX_SPAM_TIMEOUT_MULTIPLIER,Multiplier applied to time calculation to determine how long a known prefix is remembered.,15
PROTECT_SENSITIVE_FILES,Try to protect user.cfg from read access by other users?,1
QUIT,Shuts the dedicated server down and quits.,
REAL_ARENA_SIZE_FACTOR,The currently active arena size. Leave it alone! Change size_factor instead.,0.5
REAL_CYCLE_SPEED_FACTOR,The currently active cycle speed multiplier. Leave it alone! Change speed_factor instead.,1
RECORDING_DEBUGLEVEL,Level of additional information in recording file.,0
REMOVE_HELP_TOPIC,Remove a help topic.,
RENAME,Renames the given player.,
RESOURCE_REPOSITORY_CLIENT,URI the client uses to search for map files if they aren't stored locally. Better leave it alone,http://resource.armagetronad.net/resource/
RESOURCE_REPOSITORY_SERVER,URI clients and the server use to search for map files if they aren't stored locally,http://resource.armagetronad.net/resource/
RESPAWN_PLAYER,respawn_player_help,
RESPAWN_TIME,respawn_time_help,-1
RIM_WALL_STRETCH_X,Extension of the rim wall texture in the horizontal direction,100
RIM_WALL_STRETCH_Y,Extension of the rim wall texture in the vertical direction,50
RIM_WALL_WRAP_Y,Set to 1 if the rim wall texture should repeat in the vertical direction,0
RINCLUDE,Includes a file using the resource system. Use the direct link syntax to your profit here.,
ROUND_CENTER_MESSAGE,Big message sent to clients after every round,
ROUND_CONSOLE_MESSAGE,Message sent to clients after every round,
RUBBER_GAUGE_LOCX,Horizontal position of the rubber meter,-0.48
RUBBER_GAUGE_LOCY,Vertical position of the rubber meter,-0.9
RUBBER_GAUGE_SIZE,Size of the rubber meter,0.175
SAY,Dedicated server only: let the server administrator say something.,
SCORE_DEATHZONE,What you get for hitting the Death Zone,-1
SCORE_DEATH_SHOT,Number of points a player gets for shooting someone with their deathshot,1
SCORE_DIE,What you get for dying,-2
SCORE_DIFF_WIN,score_diff_win_help,1
SCORE_FLAG,Number of points a player scores on returning a captured flag to their base,1
SCORE_FLAG_HOME_BASE,score_flag_home_base_help,1
SCORE_GOAL,Number of points a player scores on kicking the ball into the enemy goal,1
SCORE_HOLE,What you get for making a hole for your teammates,0
SCORE_KILL,What you get for killing someone,3
SCORE_LOCX,Horizontal position of the score display,-0.95
SCORE_LOCY,Vertical position of the score display,-0.85
SCORE_RUBBERZONE,Score player is given for dieing on a rubber zone.,-1
SCORE_SELF_DESTRUCT,Number of points a player gets,1
SCORE_SHOT,Number of points a player shoots another player,1
SCORE_SHOT_SUICIDE,Number of points a player shoots themselves of their teammates,0
SCORE_SIZE,Size of the score display,0.13
SCORE_SUICIDE,What you get for stupidly dying,-4
SCORE_SURVIVE,What you get for surviving,0
SCORE_WIN,What you get for winning a round,10
SCORE_ZOMBIE_ZONE,Number of points a player gets for killing a zombie zone,0
SCORE_ZOMBIE_ZONE_REVENGE,Number of points a player gets for having their zombie kill someone,1
SELF_DESTRUCT,self_destruct_help,0
SELF_DESTRUCT_FALL,self_destruct_fall_help,2
SELF_DESTRUCT_RADIUS,self_destruct_radius_help,18
SELF_DESTRUCT_RISE,self_destruct_rise_help,5
SELF_DESTRUCT_ROT,self_destruct_rot_help,7
SELF_DESTRUCT_VANISH,Flag for if a self distruct zone should vanish,1
SERVER_DNS,"If your server is on dynamic IP and you set up a dynamic DNS that always points to it, you can set this variable to the DNS name to help clients remember your server across IP changes.",
SERVER_IP,IP the server listens on,ANY
SERVER_NAME,Name of this server,Unnamed Server
SERVER_OPTIONS,Short description of the options on this server,All settings at default values.
SERVER_PORT,Port this server listens on,4534
SETTING_LEGACY_BEHAVIOR_ANNOYING,"Default legacy behavior for settings that only cause minor annoyances on old clients, like enemy cycles stopping for .1 seconds after each turn. Example: CYCLE_RUBBER_MINDISTANCE",0
SETTING_LEGACY_BEHAVIOR_BREAKING,Default legacy behavior for settings that absolutely break the client and make play impossible. Example of an affected setting: MAP_FILE,2
SETTING_LEGACY_BEHAVIOR_BUMPY,"Default legacy behavior for settings that allow play on old clients in principle, but with severe limitations (cycles bouncing around, player commands not executed on time). Example: CYCLE_DELAY_TIMEBASED",2
SETTING_LEGACY_BEHAVIOR_CHEATING,Default legacy behavior for settings where the default behavior could be considered cheating if nondefault was set. Example: DOUBLEBIND_TIME,2
SETTING_LEGACY_BEHAVIOR_VISUAL,"Default legacy behavior for settings that only affect status displays and visuals, not game physics. Example: CYCLE_RUBBER_* (the client displays the rubber meter, but it's not used for anything)",0
SET_AI_POSITION,set_ai_position_help,
SET_PLAYER_TEAM,set_player_team_help,
SET_TARGET_COMMAND,Add commands for a target zone to issue when someone enters it.,
SET_ZONE_COLOR,Change the color of a zone,
SET_ZONE_EXPANSION,Change the Expansion rat of a zone,
SET_ZONE_POSITION,change a zones position,
SET_ZONE_RADIUS,change zones radius,
SET_ZONE_SPEED,change a zones speed,
SHOT_COLLISION,Flag for if shots can collide and bounce off one another.,0
SHOT_DISCARD_TIME,shot_discard_time_help,0.3
SHOT_EXPLOSION,shot_explosion_help,0
SHOT_KILL_INVULNERABLE,Flag for if Shot can kill invulnerable cycles,1
SHOT_KILL_SELF,Flag for if a player can shot themself or their team,0
SHOT_KILL_VANISH,Flag for if a shot should vanish,1
SHOT_RADIUS_MAX,shot_radius_max_help,5
SHOT_RADIUS_MIN,shot_radius_min_help,0.7
SHOT_ROT_MAX,shot_rot_max_help,10
SHOT_ROT_MIN,shot_rot_min_help,2
SHOT_SEEK_UPDATE_TIME,shot_seek_update_time_help,0.5
SHOT_START_DIST,shot_start_dist_help,1
SHOT_THRESH,shot_thresh_help,2
SHOT_VELOCITY_MULT,shot_velocity_mult_help,1.8
SHOT_WALL_BOUNCE,Flag for if shots can bounce off walls,0
SHOW_ALIVE,Show the number of enemies and friends left on the HUD?,1
SHOW_BRAKE,Show the brake meter on the HUD?,1
SHOW_FASTEST,Show the fastest player on the HUD?,1
SHOW_FPS,Enable fps display,1
SHOW_HUD,Show the HUD?,1
SHOW_OWN_NAME,Should your name be displayed above your cycle on your screen?,
SHOW_PING,Show your ping on the HUD?,1
SHOW_RUBBER,Show the rubber meter on the HUD?,1
SHOW_SCORE,Show your single player scores on the HUD?,1
SHOW_SPEED,Show the speed meter on the HUD?,1
SHOW_TIME,Show the current time in the top- right corner?,0
SHOW_TIME_24,Show the time in 24 hour format?,0
SHUFFLE_SPAM_MESSAGES_PER_ROUND,"Per round, per player limit on the number of shuffle messages displayed. A negative or zero value disables this check.",3
SILENCE,Silence a specific player so he can't use public chat any more (/msg and /team still work),
SILENCE_DEAD,silence_dead_help,0
SILENCE_DEFAULT,"If set to 1, new players will be silenced",0
SIMULATE_RECEIVE_PACKET_LOSS,UNDOCUMENTED,
SIMULATE_SEND_PACKET_LOSS,UNDOCUMENTED,
SINCLUDE,"Includes the following file silently, without error message if it is not found",
SIZE_FACTOR,Arena size modifier,0
SKY_WOBBLE,Sky animation,1
SLAP,"Slaps the given player by penalizing him with the specified amount of points. Be smart and you may be able to hug your users, too ;)",
SMOOTH_SHADING,Enable smooth shading,1
SOFTWARE_RENDERER,Is the OpenGL renderer not hardware accelerated?,0
SOUND_BUFFER_SHIFT,Buffer size multiplier,0
SOUND_QUALITY,"Sound quality [0=off, 3=high]",2
SOUND_SOURCES,Number of sound sources to be heard at the same time,10
SPAM_AUTOKICK,Spam score that causes you to get kicked instantly.,14
SPAM_AUTOKICK_COUNT,Number of spam warnings before a player gets spamkicked.,3
SPAM_MAXLEN,Maximal length of chat message.,80
SPAM_MAXLEN_OVERRIDE,Block out older clients when SPAM_MAXLEN differs from its default?,3
SPAM_PENALTY,Number of seconds to silence a spammer.,0
SPAM_PROTECTION,Harshness of spam protection; determines min delay between chat messages accepted.,4
SPAM_PROTECTION_CHAT,Extra factor for SPAM_PROTECTION for chat messages.,0.3
SPAM_PROTECTION_REPEAT,Minimum time between identical chat messages.,5
SPAM_PROTECTION_VOTE,Extra factor for SPAM_PROTECTION for votes.,50
SPARKS,Draw sparks when going too close to a wall,1
SPAWN_ALTERNATE,spawn_alternate_help,0
SPAWN_EXPLOSION,spawn_explosion_help,
SPAWN_POINT_GROUP_SIZE,UNDOCUMENTED,0
SPAWN_WINGMEN_BACK,Determines how much each wingman is placed backwards in a team.,2.2029
SPAWN_WINGMEN_SIDE,Determines how much each wingman is placed sidewards in a team.,2.75362
SPAWN_WINNERS_FIRST,spawn_winners_first_help,0
SPAWN_WRAP,spawn_wrap_help,9
SPAWN_ZONE,spawn a zone onto the grid,
SPEED_FACTOR,Speed modifier for the cycles,0
SPEED_GAUGE_LOCX,Horizontal position of the speed meter,0
SPEED_GAUGE_LOCY,Vertical position of the speed meter,-0.9
SPEED_GAUGE_SIZE,Size of the speed meter,0.175
SP_AI_IQ,IQ of the AI opponents in single player mode,50
SP_AUTO_AIS,Automatically spawn AI players in single player mode?,0
SP_AUTO_IQ,Automatically adjust AI IQ in single player mode?,0
SP_EXPLOSION_RADIUS,Blast radius of the cycle explosions in single player mode,4
SP_FINISH_TYPE,What happens when the last human is dead in single player mode?,1
SP_GAME_TYPE,"Type of game played in single player mode. 0 for freestyle, 1 for last team standing and 2 for humans vs. AIs.",1
SP_LIMIT_ROUNDS,End the match after this number of rounds in single player mode,10
SP_LIMIT_SCORE,End the match when a player reaches this score in single player mode,100000
SP_LIMIT_SETS,sp_limit_sets_help,1
SP_LIMIT_TIME,End the match after this number of minutes in single player mode,30
SP_MIN_PLAYERS,Minimum number of players in single player mode,4
SP_NUM_AIS,Number of AI players in single player mode,0
SP_SCORE_DIFF_WIN,sp_score_diff_win_help,1
SP_SCORE_WIN,What you get for winning a round in single player mode,10
SP_SIZE_FACTOR,Arena size modifier,-3
SP_SPEED_FACTOR,Speed modifier for the cycles,0
SP_TEAMS_MAX,Maximum number of teams in single player mode,16
SP_TEAMS_MIN,Minimum number of teams in single player mode,1
SP_TEAM_BALANCE_ON_QUIT,Balance teams on player quit in single player mode?,0
SP_TEAM_BALANCE_WITH_AIS,Balance teams with AI players in single player mode?,1
SP_TEAM_MAX_IMBALANCE,Maximum allowed team imbalance in single player mode,1
SP_TEAM_MAX_PLAYERS,Maximum number of players per team in single player mode,1
SP_TEAM_MIN_PLAYERS,Minimum number of players per team in single player mode,1
SP_WALLS_LENGTH,Length of the cycle walls in meters; negative values will make the walls infinite.,-1
SP_WALLS_STAY_UP_DELAY,Number of seconds the walls stay up after a player died; negative values will keep them up forever.,8
SP_WIN_ZONE_MIN_LAST_DEATH,Minimum number of seconds since the last death before the instant win zone is activated in single player mode,1.00E+06
SP_WIN_ZONE_MIN_ROUND_TIME,Minimum number of seconds the round has to be going on before the instant win zone is activated in single player mode,1.00E+06
START_CHALLENGE,start_challenge_help,
START_NEW_MATCH,Initiates a new match,
SUICIDE_MESSAGE,suicide_message_help,1
SUSPEND,Suspend a player from playing for the following N rounds (default is set by SUSPEND_DEFAULT_ROUNDS),
SUSPEND_DEFAULT_ROUNDS,Sets default round timeout for SUSPEND.,5
SVG_CYCLE_WALLS_GLOW,svg_cycle_walls_glow_help,1
SVG_OUTPUT_LOG_SCORE_DIFFERENCES,svg_output_log_score_differences_help,0
SVG_OUTPUT_TIMING,svg_output_timing_help,-1
SVG_TRANSPARENT_BACKGROUND,svg_transparent_background_help,0
SWAP_MODE,"Determines the commands used to sync graphics and input. 0: do nothing, 1: call glFlush(), 2: call glFinish().",1
SWITCH_VIEW_TOOLTIP,switch_view_tooltip_help,0 0 0 0 0
TACTICAL_POSITION_INTERVAL,tactical_position_interval_help,5
TALK_TO_MASTER,Announce this server on the internet?,0
TARGET_DECLARE_WINNER,Last target zone is a winzone ?;,1
TARGET_INITIAL_SCORE,Score for the first player entering the zone,10
TARGET_LIFETIME,Time in seconds before the zone vanished. -1 for infinite,-1
TARGET_SCORE_DEPLETE,Score suppress to the zone score each time a player entered,2
TARGET_SURVIVE_TIME,Time in sec before the zone vanished once a player entered. -1 for infinite,10
TEAMS,Get a list of all teams with a somewhat graphic representation of their formation. Same as saying /teams,
TEAMS_MAX,Maximum number of teams,16
TEAMS_MIN,Minimum number of teams,1
TEAM_ALLOW_SHUFFLE_UP,"If set to 1, players are allowed to change their position in the team as they wish. If 0, they only can drop in rank.",0
TEAM_BALANCE_ON_QUIT,Balance teams on player quit?,1
TEAM_BALANCE_WITH_AIS,Balance teams with AI players?,1
TEAM_BLUE_1,blue portion of team 1's color,15
TEAM_BLUE_2,blue portion of team 2's color,4
TEAM_BLUE_3,blue portion of team 3's color,4
TEAM_BLUE_4,blue portion of team 4's color,4
TEAM_BLUE_5,blue portion of team 5's color,15
TEAM_BLUE_6,blue portion of team 6's color,15
TEAM_BLUE_7,blue portion of team 7's color,15
TEAM_BLUE_8,blue portion of team 8's color,7
TEAM_CENTER_IS_BOSS,"If set to 1, the center player is the team's boss. If at 0, it's the player who is on that team longest.",1
TEAM_ELIMINATION_MODE,"Defines the way ArmagetronAd should eliminate teams when there's more teams than TEAMS_MAX: Set to 0 it will try to keep as many players as possible, kicking teams that have the lowest score if teams are balanced; Set to 1 it will try to keep the best team colors (Team blue, then Team gold, then Team red, etc); Set to 2 it will kick out the teams that have the lowest score, regardless of balance.",0
TEAM_GREEN_1,green portion of team 1's color,8
TEAM_GREEN_2,green portion of team 2's color,15
TEAM_GREEN_3,green portion of team 3's color,4
TEAM_GREEN_4,green portion of team 4's color,15
TEAM_GREEN_5,green portion of team 5's color,4
TEAM_GREEN_6,green portion of team 6's color,15
TEAM_GREEN_7,green portion of team 7's color,15
TEAM_GREEN_8,green portion of team 8's color,7
TEAM_MAX_IMBALANCE,Maximum allowed team imbalance,1
TEAM_MAX_PLAYERS,Maximum number of players per team,5
TEAM_MIN_PLAYERS,Minimum number of players per team,1
TEAM_NAME_1,name of team 1,$team_name_blue
TEAM_NAME_2,name of team 2,$team_name_gold
TEAM_NAME_3,name of team 3,$team_name_red
TEAM_NAME_4,name of team 4,$team_name_green
TEAM_NAME_5,name of team 5,$team_name_violet
TEAM_NAME_6,name of team 6,$team_name_ugly
TEAM_NAME_7,name of team 7,$team_name_white
TEAM_NAME_8,name of team 8,$team_name_black
TEAM_RED_1,red portion of team 1's color,4
TEAM_RED_2,red portion of team 2's color,15
TEAM_RED_3,red portion of team 3's color,15
TEAM_RED_4,red portion of team 4's color,4
TEAM_RED_5,red portion of team 5's color,15
TEAM_RED_6,red portion of team 6's color,4
TEAM_RED_7,red portion of team 7's color,15
TEAM_RED_8,red portion of team 8's color,7
TELEPORT_PLAYER,teleport_player_help,
TEXTURES_HI,Use high color textures,0
TEXTURE_MODE_0,Floor Texture:,0
TEXTURE_MODE_1,Wall Textures:,0
TEXTURE_MODE_2,Object Textures:,0
TEXTURE_MODE_3,Font:,0
TEXT_OUT,Enable console text output,0
TIMEBOT_ACTION_HIGH,"Action to take on a high suspicion of timebottery. 0: do nothing, 1: log it, 2: message moderators, 3: message all players, 4: kick the offending player.",1
TIMEBOT_ACTION_MAX,"Action to take on a very high suspicion of timebottery. 0: do nothing, 1: log it, 2: message moderators, 3: message all players, 4: kick the offending player.",1
TIMEBOT_ACTION_MEDIUM,"Action to take on a medium suspicion of timebottery. 0: do nothing, 1: log it, 2: message moderators, 3: message all players, 4: kick the offending player.",1
TIMEBOT_KICK_SEVERITY,"If players get kicked by the timebot detection, it's done with this severity level.",0.5
TIMEBOT_SENSITIVITY,The sensitivity of the timebot detection code. 1.0 is the default and you probably shouldn't deviate more than .5 from that.,1
TIMER_SYNC_START_FUDGE,UNDOCUMENTED,0.1
TIMER_SYNC_START_FUDGE_STOP,UNDOCUMENTED,2
TIMESTEP_MAX,UNDOCUMENTED,0.2
TIMESTEP_MAX_COUNT,UNDOCUMENTED,10
TIME_FACTOR,UNDOCUMENTED,1
TITLE_OF_DAY,"If fullscreen display is supported, this will be the title above message_of_day",Message of the Day
TOGGLE_SPECTATOR_TOOLTIP,toggle_spectator_tooltip_help,0 0 0 0 0
TOPOLOGY_POLICE,The topology police does posteriori checks to determine whether game moves were legal.,0
TOPOLOGY_POLICE_PARALLEL,Extra topology police flag to check for walls that are put into the grid datastructure exactly parallel to each other. Requites TOPOLOGY_POLICE to be active.,1
UNBAN_IP,Revokes the ban of the specified IP address.,
UNLOCK_ALL_TEAMS,Unlocks all teams.,
UNSILENCE,Reverts a SILENCE command,
UNSUSPEND,Removes a player suspension.,
UPPER_SKY,Draw upper sky plane,0
URL,HTTP URI associated with a server,http://www.armagetronad.net
USE_DISPLAYLISTS,Use display lists for rendering the cycles?,0
VIEWPORT_CONF,Viewport configuration; decides how many players can play on this computer,0
VIEWPORT_TO_PLAYER_1,Assign this viewport to a player,0
VIEWPORT_TO_PLAYER_2,Assign this viewport to a player,1
VIEWPORT_TO_PLAYER_3,Assign this viewport to a player,2
VIEWPORT_TO_PLAYER_4,Assign this viewport to a player,3
VOICE,Reverse of SILENCE,
VOTES_CANCEL,Cancels all running polls.,
VOTES_SUSPEND,Suspends voting for n minutes.,
VOTES_SUSPEND_DEFAULT,Default value for VOTES_SUSPEND.,3
VOTES_UNSUSPEND,Allows voting again.,
VOTE_KICK_REASON,Default reason given to players when they're vote-kicked.,
VOTE_KICK_TO_PORT,Default server port a player is redirected to by vote kicks.,4534
VOTE_KICK_TO_SERVER,Server IP/name a player is redirected to by vote kicks.,
VOTING_BIAS,Add virtual voters that oppose every change.,0
VOTING_BIAS_CHALLENGE,voting_bias_challenge_help,0
VOTING_BIAS_COMMAND,Add virtual voters that oppose every command vote.,0
VOTING_BIAS_INCLUDE,Add virtual voters that oppose every include vote.,0
VOTING_BIAS_KICK,Add virtual voters that oppose every kick vote.,0
VOTING_BIAS_SUSPEND,Add virtual voters that oppose every suspend vote.,0
VOTING_DECAY,One non-voter is ignored everytime this many seconds pass.,60
VOTING_HARM_TIME,The minimum time in seconds between two harmful votes against the same player.,180
VOTING_KICK_MINHARM,"Minimal number of harmful votes (suspension, kick,..) that need to have been issued (success is not required) against a player before a kick vote issued via the menu really results in a kick; otherwise, the result is a simple suspension.",0
VOTING_KICK_TIME,The minimum time in seconds between two kick votes against the same player.,300
VOTING_MATURITY,The minimum time in seconds a player needs to be online with the same name before he can issue votes.,300
VOTING_PRIVACY,Controls logging of voting process. 2: nothing gets logged 1: vote submission is logged for the server admin 0: voting is logged for the server admin -1: vote submission is made public -2: everything is made public,1
VOTING_SPAM_ISSUE,The spam level of issuing a vote.,1
VOTING_SPAM_REJECT,The spam level of getting your vote rejected.,5
VOTING_START_DECAY,Number of seconds after that the non-voters start to get ignored.,60
VOTING_SUSPEND_ROUNDS,"The number of rounds ""/vote suspend <player>"" suspends a player for.",5
VOTING_TIMEOUT,Votes older than this time out and are rejected.,60
VOTING_TIMEOUT_PER_VOTER,Additional value for VOTING_TIMEOUT for every voter present.,15
WAIT_FOR_EXTERNAL_SCRIPT,Let the server wait for an external script between two rounds until the script switches this setting back to 0.,0
WAIT_FOR_EXTERNAL_SCRIPT_TIMEOUT,"If the server has been paused by WAIT_FOR_EXTERNAL_SCRIPT for more seconds than this, kickstart the game.",3
WALLS_LENGTH,Length of the cycle walls in meters; negative values will make the walls infinite.,-1
WALLS_STAY_UP_DELAY,Number of seconds the walls stay up after a player died; negative values will keep them up forever.,8
WHITE_SPARKS,Draw sparks in white (instead of cycle colors).,0
WIN_ZONE_DEATHS,A value of 1 turns it into a death zone.,0
WIN_ZONE_EXPANSION,Expansion speed of the instant win zone,1
WIN_ZONE_INITIAL_SIZE,Initial size of the instant win zone,5
WIN_ZONE_MIN_LAST_DEATH,Minimum number of seconds since the last death before the instant win zone is activated,30
WIN_ZONE_MIN_ROUND_TIME,Minimum number of seconds the round has to be going on before the instant win zone is activated,60
WIN_ZONE_RANDOMNESS,"Randomness factor of the initial win zone position. 0 fixes it at the arena center, 1 spreads the zone all over it.",0.8
WORD_DELIMITERS,Characters that count as word delimiters when skipping over words in a text input field.,"!?.:;_()-,"
WRAP_MENU,"If set, you leave a menu to the top and reenter it at the bottom.",1
ZDEPTH,z buffer depth to use (0: 16 1: from color depth 2: 32),1
ZOMBIE_ZONE,zombie_zone_help,0
ZOMBIE_ZONE_FALL,zombie_zone_fall_help,0
ZOMBIE_ZONE_RADIUS,zombie_zone_radius_help,6
ZOMBIE_ZONE_RISE,zombie_zone_rise_help,0.4
ZOMBIE_ZONE_ROT,zombie_zone_rot_help,2
ZOMBIE_ZONE_SHOOT,How much zone to take away from a zombie when a shot enters it,1
ZOMBIE_ZONE_SPEED,zombie_zone_speed_help,12
ZOMBIE_ZONE_VANISH,Flag for if a zombie zone should vanish,0
ZONE_ALPHA,Transparency factor for zone rendering. 1.0 gives full strength.,1
ZONE_ALPHA_SERVER,"Transparency factor for zone rendering, controlled by the server. 1.0 gives full strength.",1
ZONE_ALPHA_TOGGLE,This is XORd with ALPHA_BLEND to determine the way to draw zones,0
ZONE_BOTTOM,Where to put the zone along the Z axis. Default is 0.0,0
ZONE_HEIGHT,The zone segments' height. Default is 5.0,5
ZONE_SEGMENTS,How many segments the zone is formed with. Default is 11,11
ZONE_SEG_LENGTH,The rendered percentual of every segment. Default is .5,0.5
