Command,Meaning,Default
LADDERLOG_WRITE_DEATH_FRAG,Write to ladderlog: DEATH_FRAG <prey> <predator>,1
LADDERLOG_WRITE_DEATH_SUICIDE,Write to ladderlog: DEATH_SUICIDE <player>,1
LADDERLOG_WRITE_DEATH_TEAMKILL,Write to ladderlog: DEATH_TEAMKILL <prey> <predator>,1
LADDERLOG_WRITE_GAME_END,Write to ladderlog: GAME_END <date and time>,1
LADDERLOG_WRITE_GAME_TIME,Write to ladderlog: GAME_TIME (see also: GAME_TIME_INTERVAL),1
LADDERLOG_WRITE_MATCH_WINNER,Write to ladderlog: MATCH_WINNER <team> <players>,1
LADDERLOG_WRITE_NEW_MATCH,Write to ladderlog: NEW_MATCH <date and time>,1
LADDERLOG_WRITE_NEW_ROUND,Write to ladderlog: NEW_ROUND <date and time>,1
LADDERLOG_WRITE_NUM_HUMANS,Write to ladderlog: NUM_HUMANS <number of humans>,0
LADDERLOG_WRITE_ONLINE_PLAYER,Write to ladderlog: ONLINE_PLAYER <name> [<ping> [<team>]],0
LADDERLOG_WRITE_PLAYER_ENTERED,Write to ladderlog: PLAYER_ENTERED <name> <IP> <screen name>,1
LADDERLOG_WRITE_PLAYER_LEFT,Write to ladderlog: PLAYER_LEFT <name> <IP>,1
LADDERLOG_WRITE_PLAYER_RENAMED,Write to ladderlog: PLAYER_RENAMED <old name> <new name> <ip> <screen name>,1
LADDERLOG_WRITE_POSITIONS,Write to ladderlog: POSITIONS <team> <player1 player2 ...>,0
LADDERLOG_WRITE_ROUND_SCORE,Write to ladderlog: ROUND_SCORE <score difference> <player> [<team>],1
LADDERLOG_WRITE_ROUND_SCORE_TEAM,Write to ladderlog: ROUND_SCORE_TEAM <score difference> <team>,1
LADDERLOG_WRITE_ROUND_WINNER,Write to ladderlog: ROUND_WINNER <team> <players>,1
LADDERLOG_WRITE_SACRIFICE,Write to ladderlog: SACRIFICE <player who used the hole> <player who created the hole> <player owning the wall the hole was made into>,1
LADDERLOG_WRITE_WAIT_FOR_EXTERNAL_SCRIPT,Write to ladderlog: WAIT_FOR_EXTERNAL_SCRIPT (see also: WAIT_FOR_EXTERNAL_SCRIPT and WAIT_FOR_EXTERNAL_SCRIPT_TIMEOUT),1
LAG_CREDIT,Maximal seconds of total lag credit.,0.5
LAG_CREDIT_SINGLE,Maximal seconds of lag credit for a single lag credit event.,0.1
LAG_CREDIT_TIME,Timescale lag credit is restored on.,600
LAG_CREDIT_VARIANCE,Maximal multiple of the lag variance for a single lag credit event.,3
LAG_FAST_TIME,Timescale the fast lag measurement decays on.,2
LAG_FAST_WEIGHT,Extra weight lag reports from the server influence the fast lag compensation with.,1
LAG_FREQUENCY_THRESHOLD,Minimal frequency of lag events (measured against the total number of input events) that needs to be exceeded before the server informs the client. Should be between 0 and 1.,0.2
LAG_MAX_SPEEDUP_TIMER,Maximal speed increase of timer while lag is compensated for.,0.2
LAG_OFFSET_CLIENT,"Extra amount of lag compensation, determined by the client.",0
LAG_OFFSET_SERVER,"Extra amount of lag compensation, determined by the server.",0
LAG_O_METER,Draw Lag-O-Meter in network play,1
LAG_O_METER_BLEND,"Amount the player color should be blended with white to get the color of the Lag-O-Meter. 1 means white, 0 means the color of the player.",0.5
LAG_O_METER_SCALE,"Scale of the Lag-O-Meter. 1.0 is the ""correct"" value, older clients were hardcoded to .5 due to a bug.",1
LAG_O_METER_THRESHOLD,The Lag-O-Meter will only be drawn if the product of cycle speed and lag is bigger than this value.,0.5
LAG_SLOW_TIME,Timescale the slow lag measurement decays on.,30
LAG_SLOW_WEIGHT,Extra weight lag reports from the server influence the slow lag compensation with.,0.2
LAG_SWEET_SPOT,"Sweet spot, the fill ratio of lag credit the server tries to keep the client at.",0.2
LAG_THRESHOLD,Amount of lag not compensated for on each lag event.,0
LANGUAGE_FIRST,The language Armagetron Advanced will use,American English
LANGUAGE_SECOND,Fallback language if the first language is not available,American English
LAST_CHAT_BREAK_TIME,Last round time a player in chat mode is able to pause the timer,-1
LAST_CHECK_ERRORS,"Listen to errors claiming a video mode does not exist, last successful init",1
LAST_COLORDEPTH,"Color depth, last successful init",1
LAST_FULLSCREEN,"Fullscreen or windowed mode, last successful init",1
LAST_ZDEPTH,"z buffer depth, last successful init",1
LEGACY_LOG_NAMES,"If 1, the log names of unauthenticated players are kept like they were before authentication was implemented. If 0, log names are escaped so that authenticated player names look best.",0
LIMIT_ADVANCE,End the match when the first team in score is this number of points ahead of the second team,100000
LIMIT_ROUNDS,End the match after this number of rounds,10
LIMIT_SCORE,End the match when a player reaches this score,100
LIMIT_TIME,End the match after this number of minutes,30
LOCAL_TEAM,Adds a local account for an entire team (team tags are compared).,
LOCAL_USER,Adds a local user account from a name/password pair.,
LOWER_SKY,Draw lower sky plane,0
MAP_FILE,File that contains the map used for playing,Anonymous/polygon/regular/square-1.0.1.aamap.xml
MAP_FILE_OVERRIDE,Block out older clients when MAP_FILE differs from its default?,3
MAP_ROTATION,"A list of map files to rotate through, with values separated by semicolons",
MASTER_IDLE,UNDOCUMENTED,
MASTER_PORT,UNDOCUMENTED,
MASTER_QUERY_INTERVAL,UNDOCUMENTED,
MASTER_SAVE_INTERVAL,UNDOCUMENTED,
MAX_CLIENTS,Maximum number of network clients to accept,16
MAX_CLIENTS_SAME_IP_HARD,Maximum number of network clients to accept from the same IP; more logins will be ignored,8
MAX_CLIENTS_SAME_IP_SOFT,Maximum number of network clients to accept from the same IP; more logins will get kicked when the server is full,4
MAX_IN_RATE,Maximum network input rate,8
MAX_OUT_RATE,Maximum network output rate,8
MAX_PLAYERS_SAME_IP,maximum number of players from the same IP (note that each client can legally host up to four players),4
MAX_SIMULATE_AHEAD,UNDOCUMENTED,0.1
MAX_VOTES,The maximum number of total votes that can be active at any given moment.,5
MAX_VOTES_PER_VOTER,The maximum number of votes suggested by each voter that can be active at any given moment.,2
MD5_PREFIX,Extra hash prefix for local accounts used to scramble the password,
MD5_SUFFIX,Extra hash suffix for local accounts used to scramble the password,
MESSAGE_CACHE_EFFORT,Effort taken to compress network messages.,1
MESSAGE_CACHE_SIZE,Size of the network message cache in messages.,1000
MESSAGE_OF_DAY,"Message sent to clients on connection, if supported by the client, it will be displayed fullscreen",
MESSAGE_OF_DAY_TIMEOUT,Time message_of_day is displayed for in fullscreen mode,60
MIN_PLAYERS,Minimum number of players,0
MIN_PLAY_TIME_ONLINE,Online play time in minutes required to play here,0
MIN_PLAY_TIME_TEAM,Team play time in minutes required to play here,0
MIN_PLAY_TIME_TOTAL,Total play time in minutes required to play here,0
MIN_VOTERS,Number of voters that need to be online to enable voting.,3
MOUSE_GRAB,"Grab the mouse pointer, so it can't leave the window",0
MOVE_TO,"Kicks the specified player from the server and, if the client supports it, redirects him to a different server. Does not imply an autoban penalty.",
MOVIEPACK,Use the moviepack if available,1
MOVIEPACK_FLOOR_BLUE,Floor color,0.5
MOVIEPACK_FLOOR_GREEN,Floor color,0.5
MOVIEPACK_FLOOR_RED,Floor color,0.5
MOVIEPACK_HACK,UNDOCUMENTED,
MOVIEPACK_RIM_WALL_STRETCH_X,Extension of one square of rim wall texture in the horizontal direction for the moviepack,50
MOVIEPACK_RIM_WALL_STRETCH_Y,Extension of the rim wall texture in the vertical direction for the moviepack,50
MUSIC_ACTIVE,music_active_help,1
MUSIC_PLAYLIST,music_playlist_help,music/default.m3u
MUSIC_VOLUME,music_volume_help,64
NETWORK_AUTOBAN_FACTOR,Autoban players for NETWORK_AUTOBAN_FACTOR * ( kph - NETWORK_AUTOBAN_OFFSET ) minutes when they get kicked; kph is the average number of kicks per hour they get.,10
NETWORK_AUTOBAN_MAX_KPH,Maximal value of the kicks per hour; larger values are smoothly clamped.,30
NETWORK_AUTOBAN_OFFSET,Autoban players for NETWORK_AUTOBAN_FACTOR * ( kph - NETWORK_AUTOBAN_OFFSET ) minutes when they get kicked; kph is the average number of kicks per hour they get.,5
NETWORK_LOCK_OUT_028_TEST,UNDOCUMENTED,1
NETWORK_MIN_BAN,"When a client's connection is blocked because he's banned, make him banned for at least this many seconds.",120
NETWORK_SPECTATOR_TIME,"If set to something bigger than zero, this is the maximal time in seconds a client without players is tolerated.",0
NEW_FEATURE_DELAY,Disable features that only came in during the last X protocol versions.,0
NEW_TEAM_ALLOWED,Is it currently allowed to create a new team?,0
NUM_AIS,Number of AI players,0
OP,op_help,
PASSWORD,Password setting,0
PASSWORD_STORAGE,"Determines where your passwords are stored: 1 means on harddisk (dangerous), 0 in memory and -1 means they are not stored at all.",0
PING_CHARITY,How much ping are you willing to take over from your opponent?,100
PING_CHARITY_MAX,Server option: maximum ping charity value. Set to 0 to avoid instant kills. Active only if all clients are 0.2.8.3 or better.,500
PING_CHARITY_MIN,Server option: minimum ping charity value. Use to enforce fairness. Active only if all clients are 0.2.8.3 or better.,0
PING_CHARITY_SERVER,Don't touch: the server says this is the maximal ping compensation.,0
PING_FLOOD_GLOBAL,"The times PING_FLOOD_TIME_X, multiplied by this value, count for all pings from all machines. Negative values disable global flood protection.",0.1
PING_FLOOD_TIME_10,Minimum time for 10 ping packets from one machine to arrive.,1
PING_FLOOD_TIME_100,Minimum time for 100 ping packets from one machine to arrive.,100
PING_FLOOD_TIME_20,Minimum time for 20 ping packets from one machine to arrive.,4
PING_FLOOD_TIME_50,Minimum time for 50 ping packets from one machine to arrive.,20
PLAYERS,Prints list of currently active players,
PLAYER_CHAT_WAIT_FRACTION,Maximum fraction of time to wait for a single player to stop chatting.,0
PLAYER_CHAT_WAIT_MAX,Maximum time in seconds to wait for a single player to stop chatting.,0
PLAYER_CHAT_WAIT_SINGLE,Set to 1 if only one player should get his chat wait time reduced at any given time.,0
PLAYER_CHAT_WAIT_TEAMLEADER,"Set to 1 if only team leaders, and 0 if all players, should be allowed to pause the timer.",1
PLAYER_LIST_HIDDEN_PLAYER_PREFIX,The prefix that is shown on hidden players' Global ID and access level when we can see it.,0xaaaaaa
PLAYER_MESSAGE,Sends a message to a specified player.,
PLAYER_RANDOM_COLOR,"If set to 1, each local player will receive a semi-random color every round, trying to get as far away from every other player color.",0
PLAY_TIME_ONLINE,Total time in minutes someone has played with this client online,0
PLAY_TIME_TEAM,Total time in minutes someone has played with this client in a team,0
PLAY_TIME_TOTAL,Total time in minutes someone has played with this client,1.39E-05
POLYGONAL_SHAPE_USED_EVER,polygonal_shape_used_ever_help,0
POLYGONAL_SHAPE_USED_EVER_OVERRIDE,polygonal_shape_used_ever_override_help,3
PREDICT_OBJECTS,Predict cycle movement in network play,0
PREDICT_WALLS,Predict cycle walls. Useful for avoiding instant kills,1
PREFIX_SPAM_ENABLE,"Should spam prefix checking be enabled? Set to 1 to enable, 0 to disable.",1
PREFIX_SPAM_LENGTH_MULTIPLIER,Multiplier applied to prefix length when calculating prefix spam score.,1.2
PREFIX_SPAM_NUMBER_COLOR_CODES_MULTIPLIER,Multiplier applied to the number of color codes in prefix when calculating prefix spam score.,1.2
PREFIX_SPAM_NUMBER_KNOWN_PREFIXES_MULTIPLIER,Multiplier applied to the number of known spam prefixes when calculating prefix spam score.,1
PREFIX_SPAM_REQUIRED_SCORE,The required prefix spam score a prefix must have for it to be considered spam.,10
PREFIX_SPAM_START_COLOR_MULTIPLIER,If a prefix begins with a color code it will have this multiplier applied to its score.,1.5
PREFIX_SPAM_TIMEOUT_MULTIPLIER,Multiplier applied to time calculation to determine how long a known prefix is remembered.,15
PROTECT_SENSITIVE_FILES,Try to protect user.cfg from read access by other users?,1
QUIT,Shuts the dedicated server down and quits.,
REAL_ARENA_SIZE_FACTOR,The currently active arena size. Leave it alone! Change size_factor instead.,0.5
REAL_CYCLE_SPEED_FACTOR,The currently active cycle speed multiplier. Leave it alone! Change speed_factor instead.,1
RECORDING_DEBUGLEVEL,Level of additional information in recording file.,0
REMOVE_HELP_TOPIC,Remove a help topic.,
RENAME,Renames the given player.,
RESERVE_SCREEN_NAME,Reserves a screen name to a registered user,
RESET_ROTATION,Resets map and config rotation,
RESET_ROTATION_ON_START_NEW_MATCH,"If enabled, map and config rotation will be reset when a START_NEW_MATCH command is issued",0
RESOURCE_REPOSITORY_CLIENT,URI the client uses to search for map files if they aren't stored locally. Better leave it alone,http://resource.armagetronad.net/resource/
RESOURCE_REPOSITORY_SERVER,URI clients and the server use to search for map files if they aren't stored locally,http://resource.armagetronad.net/resource/
RIM_WALL_STRETCH_X,Extension of the rim wall texture in the horizontal direction,100
RIM_WALL_STRETCH_Y,Extension of the rim wall texture in the vertical direction,50
RIM_WALL_WRAP_Y,Set to 1 if the rim wall texture should repeat in the vertical direction,0
RINCLUDE,Includes a file using the resource system. Use the direct link syntax to your profit here.,
ROTATION_TYPE,"Determines when map and config rotation should occur. Possible values: (0) Do not do any rotation, (1) Rotate every round (2) Rotate every match",0
ROUND_CENTER_MESSAGE,Big message sent to clients after every round,
ROUND_CONSOLE_MESSAGE,Message sent to clients after every round,
SAY,Dedicated server only: let the server administrator say something.,
SCORE_DEATHZONE,Amount of points you get for hitting the Death Zone,-1
SCORE_DIE,Amount of points you get for dying,-2
SCORE_HOLE,What you get for making a hole for your teammates,0
SCORE_KILL,Amount of points you get for killing someone,3
SCORE_SUICIDE,Amount of points you get for stupidly dying,-4
SCORE_SURVIVE,What you get for surviving,0
SCORE_WIN,Amount of points you get for winning a round,10
SCRAMBLE,scramble_help,
SERVER_DNS,"If your server is on dynamic IP and you set up a dynamic DNS that always points to it, you can set this variable to the DNS name to help clients remember your server across IP changes.",
SERVER_IP,IP the server listens on,ANY
SERVER_NAME,Name of this server,Unnamed Server
SERVER_OPTIONS,Short description of the options on this server,All settings at default values.
SERVER_PORT,Port this server listens on,4534
SETTING_LEGACY_BEHAVIOR_ANNOYING,"Default legacy behavior for settings that only cause minor annoyances on old clients, like enemy cycles stopping for .1 seconds after each turn. Example: CYCLE_RUBBER_MINDISTANCE",0
SETTING_LEGACY_BEHAVIOR_BREAKING,Default legacy behavior for settings that absolutely break the client and make play impossible. Example of an affected setting: MAP_FILE,2
SETTING_LEGACY_BEHAVIOR_BUMPY,"Default legacy behavior for settings that allow play on old clients in principle, but with severe limitations (cycles bouncing around, player commands not executed on time). Example: CYCLE_DELAY_TIMEBASED",2
SETTING_LEGACY_BEHAVIOR_CHEATING,Default legacy behavior for settings where the default behavior could be considered cheating if nondefault was set. Example: DOUBLEBIND_TIME,2
SETTING_LEGACY_BEHAVIOR_VISUAL,"Default legacy behavior for settings that only affect status displays and visuals, not game physics. Example: CYCLE_RUBBER_* (the client displays the rubber meter, but it's not used for anything)",0
SHOW_FPS,Enable fps display,1
SHOW_OWN_NAME,Should your name be displayed above your cycle on your screen?,
SHUFFLE_SPAM_MESSAGES_PER_ROUND,"Per round, per player limit on the number of shuffle messages displayed. A negative or zero value disables this check.",3
SILENCE,Silence a specific player so he can't use public chat any more (/msg and /team still work),
SILENCE_DEFAULT,"If set to 1, new players will be silenced",0
SILENCE_ENEMIES,"When enabled, chat sent from enemies is not displayed on your client if you are alive. If you are dead all chat is displayed.",0
SIMULATE_RECEIVE_PACKET_LOSS,UNDOCUMENTED,
SIMULATE_SEND_PACKET_LOSS,UNDOCUMENTED,
SINCLUDE,"Includes the following file silently, without error message if it is not found",
SIZE_FACTOR,Arena size modifier,0
SKY_WOBBLE,Sky animation,1
SLAP,"Slaps the given player by penalizing him with the specified amount of points. Be smart and you may be able to hug your users, too ;)",
SMOOTH_SHADING,Enable smooth shading,1
SOFTWARE_RENDERER,Is the OpenGL renderer not hardware accelerated?,0
SOUND_BUFFER_SIZE,sound_buffer_size_help,4
SOUND_CHANNELS,Number of channels your soundcard supports,2
SOUND_QUALITY,"Sound quality [0=off, 3=high]",2
SPAM_AUTOKICK,Spam score that causes you to get kicked instantly.,14
SPAM_AUTOKICK_COUNT,Number of spam warnings before a player gets spamkicked.,3
SPAM_MAXLEN,Maximal length of chat message.,80
SPAM_MAXLEN_OVERRIDE,Block out older clients when SPAM_MAXLEN differs from its default?,3
SPAM_PENALTY,Number of seconds to silence a spammer.,0
SPAM_PROTECTION,Harshness of spam protection; determines min delay between chat messages accepted.,4
SPAM_PROTECTION_CHAT,Extra factor for SPAM_PROTECTION for chat messages.,0.3
SPAM_PROTECTION_REPEAT,Minimum time between identical chat messages.,5
SPAM_PROTECTION_VOTE,Extra factor for SPAM_PROTECTION for votes.,50
SPARKS,Draw sparks when going too close to a wall,1
SPAWN_POINT_GROUP_SIZE,UNDOCUMENTED,0
SPAWN_WINGMEN_BACK,Determines how much each wingman is placed backwards in a team.,2.2029
SPAWN_WINGMEN_SIDE,Determines how much each wingman is placed sidewards in a team.,2.75362
SPEED_FACTOR,Speed modifier for the cycles,0
SP_AI_IQ,IQ of the AI opponents in single player mode,50
SP_AUTO_AIS,Automatically spawn AI players in single player mode?,0
SP_AUTO_IQ,Automatically adjust AI IQ in single player mode?,0
SP_EXPLOSION_RADIUS,Blast radius of the cycle explosions in single player mode,4
SP_FINISH_TYPE,What happens when the last human is dead in single player mode?,1
SP_GAME_TYPE,"Type of game played in single player mode. 0 for freestyle, 1 for last team standing and 2 for humans vs. AIs.",1
SP_LIMIT_ADVANCE,End the match in single player mode when the first team in score is this number of points ahead of the second team,100000
SP_LIMIT_ROUNDS,End the match after this number of rounds in single player mode,10
SP_LIMIT_SCORE,End the match when a player reaches this score in single player mode,100000
SP_LIMIT_TIME,End the match after this number of minutes in single player mode,30
SP_MIN_PLAYERS,Minimum number of players in single player mode,4
SP_NUM_AIS,Number of AI players in single player mode,0
SP_SCORE_WIN,What you get for winning a round in single player mode,10
SP_SIZE_FACTOR,Arena size modifier,-3
SP_SPEED_FACTOR,Speed modifier for the cycles,0
SP_TEAMS_MAX,Maximum number of teams in single player mode,16
SP_TEAMS_MIN,Minimum number of teams in single player mode,1
SP_TEAM_BALANCE_ON_QUIT,Balance teams on player quit in single player mode?,0
SP_TEAM_BALANCE_WITH_AIS,Balance teams with AI players in single player mode?,1
SP_TEAM_MAX_IMBALANCE,Maximum allowed team imbalance in single player mode,1
SP_TEAM_MAX_PLAYERS,Maximum number of players per team in single player mode,1
SP_TEAM_MIN_PLAYERS,Minimum number of players per team in single player mode,1
SP_WALLS_LENGTH,Length of the cycle walls in meters; negative values will make the walls infinite.,-1
SP_WALLS_STAY_UP_DELAY,Number of seconds the walls stay up after a player died; negative values will keep them up forever.,8
SP_WIN_ZONE_MIN_LAST_DEATH,Minimum number of seconds since the last death before the instant win zone is activated in single player mode,1.00E+06
SP_WIN_ZONE_MIN_ROUND_TIME,Minimum number of seconds the round has to be going on before the instant win zone is activated in single player mode,1.00E+06
START_NEW_MATCH,Initiates a new match,
STAT_OUTPUT,stat_output_help,0
SUSPEND,Suspend a player from playing for the following N rounds (default is set by SUSPEND_DEFAULT_ROUNDS),
SUSPEND_DEFAULT_ROUNDS,Sets default round timeout for SUSPEND.,5
SWAP_OPTIMIZE,"Determines the algorithm used to swap and sync. 0: Optimize for low latency, 1: Auto, 2: optimize for high throughput, 3 and 4 optimize even more for throughput, but are very dangerous.",1
SWITCH_VIEW_TOOLTIP,switch_view_tooltip_help,2 2 2 2 2
TALK_TO_MASTER,Announce this server on the internet?,0
TEAMS,Get a list of all teams with a somewhat graphic representation of their formation. Same as saying /teams,
TEAMS_MAX,Maximum number of teams,16
TEAMS_MIN,Minimum number of teams,1
TEAM_BALANCE_ON_QUIT,Balance teams on player quit?,1
TEAM_BALANCE_WITH_AIS,Balance teams with AI players?,1
TEAM_BLUE_1,blue portion of team 1's color,15
TEAM_BLUE_2,blue portion of team 2's color,4
TEAM_BLUE_3,blue portion of team 3's color,4
TEAM_BLUE_4,blue portion of team 4's color,4
TEAM_BLUE_5,blue portion of team 5's color,15
TEAM_BLUE_6,blue portion of team 6's color,15
TEAM_BLUE_7,blue portion of team 7's color,15
TEAM_BLUE_8,blue portion of team 8's color,7
TEAM_CENTER_IS_BOSS,"If set to 1, the center player is the team's boss. If at 0, it's the player who is on that team longest.",1
TEAM_ELIMINATION_MODE,"Defines the way ArmagetronAd should eliminate teams when there's more teams than TEAMS_MAX: Set to 0 it will try to keep as many players as possible, kicking teams that have the lowest score if teams are balanced; Set to 1 it will try to keep the best team colors (Team blue, then Team gold, then Team red, etc); Set to 2 it will kick out the teams that have the lowest score, regardless of balance.",0
TEAM_GREEN_1,green portion of team 1's color,8
TEAM_GREEN_2,green portion of team 2's color,15
TEAM_GREEN_3,green portion of team 3's color,4
TEAM_GREEN_4,green portion of team 4's color,15
TEAM_GREEN_5,green portion of team 5's color,4
TEAM_GREEN_6,green portion of team 6's color,15
TEAM_GREEN_7,green portion of team 7's color,15
TEAM_GREEN_8,green portion of team 8's color,7
TEAM_MAX_IMBALANCE,Maximum allowed team imbalance,1
TEAM_MAX_PLAYERS,Maximum number of players per team,5
TEAM_MENU_COLOR_TEAM_FULL,Allows to change the prefix/color for unjoinable teams,0xaaaaaa
TEAM_MENU_COLOR_TEAM_OK,Allows to change the prefix/color for joinable teams,0xffffff
TEAM_MIN_PLAYERS,Minimum number of players per team,1
TEAM_NAME_1,name of team 1,$team_name_blue
TEAM_NAME_2,name of team 2,$team_name_gold
TEAM_NAME_3,name of team 3,$team_name_red
TEAM_NAME_4,name of team 4,$team_name_green
TEAM_NAME_5,name of team 5,$team_name_violet
TEAM_NAME_6,name of team 6,$team_name_ugly
TEAM_NAME_7,name of team 7,$team_name_white
TEAM_NAME_8,name of team 8,$team_name_black
TEAM_RED_1,red portion of team 1's color,4
TEAM_RED_2,red portion of team 2's color,15
TEAM_RED_3,red portion of team 3's color,15
TEAM_RED_4,red portion of team 4's color,4
TEAM_RED_5,red portion of team 5's color,15
TEAM_RED_6,red portion of team 6's color,4
TEAM_RED_7,red portion of team 7's color,15
TEAM_RED_8,red portion of team 8's color,7
TEXTURES_HI,Use high color textures,0
TEXTURE_MODE_0,Floor Texture:,9985
TEXTURE_MODE_1,Wall Textures:,9985
TEXTURE_MODE_2,Object Textures:,9985
TEXTURE_MODE_3,Font:,9729
TEXT_OUT,Enable console text output,1
TIMEBOT_ACTION_HIGH,"Action to take on a high suspicion of timebottery. 0: do nothing, 1: log it, 2: message moderators, 3: message all players, 4: kick the offending player.",1
TIMEBOT_ACTION_MAX,"Action to take on a very high suspicion of timebottery. 0: do nothing, 1: log it, 2: message moderators, 3: message all players, 4: kick the offending player.",1
TIMEBOT_ACTION_MEDIUM,"Action to take on a medium suspicion of timebottery. 0: do nothing, 1: log it, 2: message moderators, 3: message all players, 4: kick the offending player.",1
TIMEBOT_KICK_SEVERITY,"If players get kicked by the timebot detection, it's done with this severity level.",0.5
TIMEBOT_SENSITIVITY,The sensitivity of the timebot detection code. 1.0 is the default and you probably shouldn't deviate more than .5 from that.,1
TIMER_SYNC_START_FUDGE,UNDOCUMENTED,0.1
TIMER_SYNC_START_FUDGE_STOP,UNDOCUMENTED,2
TIMESTEP_MAX,UNDOCUMENTED,0.2
TIMESTEP_MAX_COUNT,UNDOCUMENTED,10
TIME_FACTOR,UNDOCUMENTED,1
TITLE_OF_DAY,"If fullscreen display is supported, this will be the title above message_of_day",Message of the Day
TITLE_TRACK,title_track_help,music/titletrack.ogg
TOGGLE,Cycle between 0 and 1 for a boolean config item. Example: TOGGLE PREDICT_OBJECTS,
TOGGLE_SPECTATOR_TOOLTIP,toggle_spectator_tooltip_help,2 2 2 2 2
TOPOLOGY_POLICE,The topology police does posteriori checks to determine whether game moves were legal.,0
TOPOLOGY_POLICE_PARALLEL,Extra topology police flag to check for walls that are put into the grid datastructure exactly parallel to each other. Requites TOPOLOGY_POLICE to be active.,1
TRUST_LAN,"If set to 1, the server assumes that your LAN is safe and that nobody can run a pharming server on it.",0
UNBAN_IP,Revokes the ban of the specified IP address.,
UNBAN_USER,Undoes BAN_USER.,
UNLOCK_ALL_TEAMS,Unlocks all teams.,
UNSILENCE,Reverts a SILENCE command,
UNSUSPEND,Removes a player suspension.,
UPPER_SKY,Draw upper sky plane,0
URL,HTTP URI associated with a server,http://www.armagetronad.net
USER_ALIAS,Allows bending authenticated names around: a player authenticated as X originally can appear as y.,
USER_LEVEL,Changes the access level of a user.,
USER_REMOVE,Removes an password account for a user or team.,
USE_CUSTOM_PLAYLIST,use_custom_playlist_help,0
USE_DISPLAYLISTS,Use display lists for rendering the cycles?,0
VIEWPORT_CONF,Viewport configuration; decides how many players can play on this computer,0
VIEWPORT_TO_PLAYER_1,Assign this viewport to a player,0
VIEWPORT_TO_PLAYER_2,Assign this viewport to a player,1
VIEWPORT_TO_PLAYER_3,Assign this viewport to a player,2
VIEWPORT_TO_PLAYER_4,Assign this viewport to a player,3
VOICE,Reverse of SILENCE,
VOTES_CANCEL,Cancels all running polls.,
VOTES_SUSPEND,Suspends voting for n minutes.,
VOTES_SUSPEND_DEFAULT,Default value for VOTES_SUSPEND.,3
VOTES_UNSUSPEND,Allows voting again.,
VOTE_KICK_REASON,Default reason given to players when they're vote-kicked.,
VOTE_KICK_TO_PORT,Default server port a player is redirected to by vote kicks.,4534
VOTE_KICK_TO_SERVER,Server IP/name a player is redirected to by vote kicks.,
VOTING_BIAS,Add virtual voters that oppose every change.,0
VOTING_BIAS_COMMAND,Add virtual voters that oppose every command vote.,0
VOTING_BIAS_DEMOTEREFEREE,voting_bias_demotereferee_help,0
VOTING_BIAS_INCLUDE,Add virtual voters that oppose every include vote.,0
VOTING_BIAS_KICK,Add virtual voters that oppose every kick vote.,0
VOTING_BIAS_REFEREE,voting_bias_referee_help,0
VOTING_BIAS_SCRAMBLE,voting_bias_scramble_help,0
VOTING_BIAS_SUSPEND,Add virtual voters that oppose every suspend vote.,0
VOTING_DECAY,One non-voter is ignored everytime this many seconds pass.,60
VOTING_HARM_TIME,The minimum time in seconds between two harmful votes against the same player.,180
VOTING_KICK_MINHARM,"Minimal number of harmful votes (suspension, kick,..) that need to have been issued (success is not required) against a player before a kick vote issued via the menu really results in a kick; otherwise, the result is a simple suspension.",0
VOTING_KICK_TIME,The minimum time in seconds between two kick votes against the same player.,300
VOTING_MATURITY,The minimum time in seconds a player needs to be online with the same name before he can issue votes.,300
VOTING_PRIVACY,Controls logging of voting process. 2: nothing gets logged 1: vote submission is logged for the server admin 0: voting is logged for the server admin -1: vote submission is made public -2: everything is made public,1
VOTING_SPAM_ISSUE,The spam level of issuing a vote.,1
VOTING_SPAM_REJECT,The spam level of getting your vote rejected.,5
VOTING_START_DECAY,Number of seconds after that the non-voters start to get ignored.,60
VOTING_SUSPEND_ROUNDS,"The number of rounds ""/vote suspend <player>"" suspends a player for.",5
VOTING_TIMEOUT,Votes older than this time out and are rejected.,60
VOTING_TIMEOUT_PER_VOTER,Additional value for VOTING_TIMEOUT for every voter present.,15
WAIT_FOR_EXTERNAL_SCRIPT,Let the server wait for an external script between two rounds until the script switches this setting back to 0.,0
WAIT_FOR_EXTERNAL_SCRIPT_TIMEOUT,"If the server has been paused by WAIT_FOR_EXTERNAL_SCRIPT for more seconds than this, kickstart the game.",3
WALLS_LENGTH,Length of the cycle walls in meters; negative values will make the walls infinite.,-1
WALLS_STAY_UP_DELAY,Number of seconds the walls stay up after a player died; negative values will keep them up forever.,8
WHITELIST_ENEMIES_IP,Allow any players from the specified IP address to be enemies. Usage: WHITELIST_ENEMIES_IP <ip1> ...,
WHITELIST_ENEMIES_USERNAME,"Allow a set of authenticated players to be enemies, even if they come from the same IP address. Usage: WHITELIST_ENEMIES_USERNAME <authenticated name1> <authenticated name2> ...",
WHITE_SPARKS,Draw sparks in white (instead of cycle colors).,0
WIN_ZONE_DEATHS,A value of 1 turns it into a death zone.,0
WIN_ZONE_EXPANSION,Expansion speed of the instant win zone,1
WIN_ZONE_INITIAL_SIZE,Initial size of the instant win zone,5
WIN_ZONE_MIN_LAST_DEATH,Minimum number of seconds since the last death before the instant win zone is activated,30
